t;V;Vx;Vy;h;d;alpha;
0.04;9.71;7.07;6.65;5.30;0.31;0.75;
0.04;9.70;7.07;6.65;5.30;0.31;0.75;
0.04;9.70;7.07;6.64;5.30;0.31;0.75;
0.04;9.70;7.07;6.64;5.30;0.31;0.75;
0.04;9.70;7.07;6.64;5.30;0.31;0.75;
0.04;9.70;7.07;6.64;5.30;0.31;0.75;
0.04;9.70;7.07;6.64;5.30;0.31;0.75;
0.04;9.70;7.07;6.63;5.31;0.31;0.75;
0.04;9.69;7.07;6.63;5.31;0.32;0.75;
0.04;9.69;7.07;6.63;5.31;0.32;0.75;
0.05;9.69;7.07;6.63;5.31;0.32;0.75;
0.05;9.69;7.07;6.63;5.31;0.32;0.75;
0.05;9.69;7.07;6.62;5.31;0.32;0.75;
0.05;9.69;7.07;6.62;5.31;0.32;0.75;
0.05;9.69;7.07;6.62;5.31;0.32;0.75;
0.05;9.69;7.07;6.62;5.32;0.33;0.75;
0.05;9.68;7.07;6.62;5.32;0.33;0.75;
0.05;9.68;7.07;6.62;5.32;0.33;0.75;
0.05;9.68;7.07;6.61;5.32;0.33;0.75;
0.05;9.68;7.07;6.61;5.32;0.33;0.75;
0.05;9.68;7.07;6.61;5.32;0.33;0.75;
0.05;9.68;7.07;6.61;5.32;0.33;0.75;
0.05;9.68;7.07;6.61;5.32;0.34;0.75;
0.05;9.68;7.07;6.60;5.33;0.34;0.75;
0.05;9.67;7.07;6.60;5.33;0.34;0.75;
0.05;9.67;7.07;6.60;5.33;0.34;0.75;
0.05;9.67;7.07;6.60;5.33;0.34;0.75;
0.05;9.67;7.07;6.60;5.33;0.34;0.75;
0.05;9.67;7.07;6.59;5.33;0.34;0.75;
0.05;9.67;7.07;6.59;5.33;0.35;0.75;
0.05;9.67;7.07;6.59;5.33;0.35;0.75;
0.05;9.66;7.07;6.59;5.34;0.35;0.75;
0.05;9.66;7.07;6.59;5.34;0.35;0.75;
0.05;9.66;7.07;6.58;5.34;0.35;0.75;
0.05;9.66;7.07;6.58;5.34;0.35;0.75;
0.05;9.66;7.07;6.58;5.34;0.35;0.75;
0.05;9.66;7.07;6.58;5.34;0.36;0.75;
0.05;9.66;7.07;6.58;5.34;0.36;0.75;
0.05;9.66;7.07;6.57;5.35;0.36;0.75;
0.05;9.65;7.07;6.57;5.35;0.36;0.75;
0.05;9.65;7.07;6.57;5.35;0.36;0.75;
0.05;9.65;7.07;6.57;5.35;0.36;0.75;
0.05;9.65;7.07;6.57;5.35;0.36;0.75;
0.05;9.65;7.07;6.56;5.35;0.36;0.75;
0.05;9.65;7.07;6.56;5.35;0.37;0.75;
0.05;9.65;7.07;6.56;5.35;0.37;0.75;
0.05;9.64;7.07;6.56;5.36;0.37;0.75;
0.05;9.64;7.07;6.56;5.36;0.37;0.75;
0.05;9.64;7.07;6.56;5.36;0.37;0.75;
0.05;9.64;7.07;6.55;5.36;0.37;0.75;
0.05;9.64;7.07;6.55;5.36;0.37;0.75;
0.05;9.64;7.07;6.55;5.36;0.38;0.75;
0.05;9.64;7.07;6.55;5.36;0.38;0.75;
0.05;9.64;7.07;6.55;5.36;0.38;0.75;
0.05;9.63;7.07;6.54;5.37;0.38;0.75;
0.05;9.63;7.07;6.54;5.37;0.38;0.75;
0.05;9.63;7.07;6.54;5.37;0.38;0.75;
0.05;9.63;7.07;6.54;5.37;0.38;0.75;
0.05;9.63;7.07;6.54;5.37;0.39;0.75;
0.05;9.63;7.07;6.53;5.37;0.39;0.75;
0.05;9.63;7.07;6.53;5.37;0.39;0.75;
0.06;9.63;7.07;6.53;5.37;0.39;0.75;
0.06;9.62;7.07;6.53;5.38;0.39;0.75;
0.06;9.62;7.07;6.53;5.38;0.39;0.75;
0.06;9.62;7.07;6.52;5.38;0.39;0.75;
0.06;9.62;7.07;6.52;5.38;0.40;0.75;
0.06;9.62;7.07;6.52;5.38;0.40;0.74;
0.06;9.62;7.07;6.52;5.38;0.40;0.74;
0.06;9.62;7.07;6.52;5.38;0.40;0.74;
0.06;9.61;7.07;6.51;5.39;0.40;0.74;
0.06;9.61;7.07;6.51;5.39;0.40;0.74;
0.06;9.61;7.07;6.51;5.39;0.40;0.74;
0.06;9.61;7.07;6.51;5.39;0.41;0.74;
0.06;9.61;7.07;6.51;5.39;0.41;0.74;
0.06;9.61;7.07;6.51;5.39;0.41;0.74;
0.06;9.61;7.07;6.50;5.39;0.41;0.74;
0.06;9.61;7.07;6.50;5.39;0.41;0.74;
0.06;9.60;7.07;6.50;5.40;0.41;0.74;
0.06;9.60;7.07;6.50;5.40;0.41;0.74;
0.06;9.60;7.07;6.50;5.40;0.41;0.74;
0.06;9.60;7.07;6.49;5.40;0.42;0.74;
0.06;9.60;7.07;6.49;5.40;0.42;0.74;
0.06;9.60;7.07;6.49;5.40;0.42;0.74;
0.06;9.60;7.07;6.49;5.40;0.42;0.74;
0.06;9.60;7.07;6.49;5.40;0.42;0.74;
0.06;9.59;7.07;6.48;5.41;0.42;0.74;
0.06;9.59;7.07;6.48;5.41;0.42;0.74;
0.06;9.59;7.07;6.48;5.41;0.43;0.74;
0.06;9.59;7.07;6.48;5.41;0.43;0.74;
0.06;9.59;7.07;6.48;5.41;0.43;0.74;
0.06;9.59;7.07;6.47;5.41;0.43;0.74;
0.06;9.59;7.07;6.47;5.41;0.43;0.74;
0.06;9.58;7.07;6.47;5.41;0.43;0.74;
0.06;9.58;7.07;6.47;5.42;0.43;0.74;
0.06;9.58;7.07;6.47;5.42;0.44;0.74;
0.06;9.58;7.07;6.46;5.42;0.44;0.74;
0.06;9.58;7.07;6.46;5.42;0.44;0.74;
0.06;9.58;7.07;6.46;5.42;0.44;0.74;
0.06;9.58;7.07;6.46;5.42;0.44;0.74;
0.06;9.58;7.07;6.46;5.42;0.44;0.74;
0.06;9.57;7.07;6.46;5.42;0.44;0.74;
0.06;9.57;7.07;6.45;5.43;0.45;0.74;
0.06;9.57;7.07;6.45;5.43;0.45;0.74;
0.06;9.57;7.07;6.45;5.43;0.45;0.74;
0.06;9.57;7.07;6.45;5.43;0.45;0.74;
0.06;9.57;7.07;6.45;5.43;0.45;0.74;
0.06;9.57;7.07;6.44;5.43;0.45;0.74;
0.06;9.57;7.07;6.44;5.43;0.45;0.74;
0.06;9.56;7.07;6.44;5.43;0.45;0.74;
0.06;9.56;7.07;6.44;5.44;0.46;0.74;
0.06;9.56;7.07;6.44;5.44;0.46;0.74;
0.06;9.56;7.07;6.43;5.44;0.46;0.74;
0.07;9.56;7.07;6.43;5.44;0.46;0.74;
0.07;9.56;7.07;6.43;5.44;0.46;0.74;
0.07;9.56;7.07;6.43;5.44;0.46;0.74;
0.07;9.56;7.07;6.43;5.44;0.46;0.74;
0.07;9.55;7.07;6.42;5.44;0.47;0.74;
0.07;9.55;7.07;6.42;5.45;0.47;0.74;
0.07;9.55;7.07;6.42;5.45;0.47;0.74;
0.07;9.55;7.07;6.42;5.45;0.47;0.74;
0.07;9.55;7.07;6.42;5.45;0.47;0.74;
0.07;9.55;7.07;6.41;5.45;0.47;0.74;
0.07;9.55;7.07;6.41;5.45;0.47;0.74;
0.07;9.54;7.07;6.41;5.45;0.48;0.74;
0.07;9.54;7.07;6.41;5.45;0.48;0.74;
0.07;9.54;7.07;6.41;5.46;0.48;0.74;
0.07;9.54;7.07;6.41;5.46;0.48;0.74;
0.07;9.54;7.07;6.40;5.46;0.48;0.74;
0.07;9.54;7.07;6.40;5.46;0.48;0.74;
0.07;9.54;7.07;6.40;5.46;0.48;0.74;
0.07;9.54;7.07;6.40;5.46;0.49;0.74;
0.07;9.53;7.07;6.40;5.46;0.49;0.74;
0.07;9.53;7.07;6.39;5.46;0.49;0.74;
0.07;9.53;7.07;6.39;5.47;0.49;0.73;
0.07;9.53;7.07;6.39;5.47;0.49;0.73;
0.07;9.53;7.07;6.39;5.47;0.49;0.73;
0.07;9.53;7.07;6.39;5.47;0.49;0.73;
0.07;9.53;7.07;6.38;5.47;0.50;0.73;
0.07;9.53;7.07;6.38;5.47;0.50;0.73;
0.07;9.52;7.07;6.38;5.47;0.50;0.73;
0.07;9.52;7.07;6.38;5.47;0.50;0.73;
0.07;9.52;7.07;6.38;5.48;0.50;0.73;
0.07;9.52;7.07;6.37;5.48;0.50;0.73;
0.07;9.52;7.07;6.37;5.48;0.50;0.73;
0.07;9.52;7.07;6.37;5.48;0.50;0.73;
0.07;9.52;7.07;6.37;5.48;0.51;0.73;
0.07;9.52;7.07;6.37;5.48;0.51;0.73;
0.07;9.51;7.07;6.36;5.48;0.51;0.73;
0.07;9.51;7.07;6.36;5.48;0.51;0.73;
0.07;9.51;7.07;6.36;5.49;0.51;0.73;
0.07;9.51;7.07;6.36;5.49;0.51;0.73;
0.07;9.51;7.07;6.36;5.49;0.51;0.73;
0.07;9.51;7.07;6.36;5.49;0.52;0.73;
0.07;9.51;7.07;6.35;5.49;0.52;0.73;
0.07;9.50;7.07;6.35;5.49;0.52;0.73;
0.07;9.50;7.07;6.35;5.49;0.52;0.73;
0.07;9.50;7.07;6.35;5.49;0.52;0.73;
0.07;9.50;7.07;6.35;5.50;0.52;0.73;
0.07;9.50;7.07;6.34;5.50;0.52;0.73;
0.07;9.50;7.07;6.34;5.50;0.53;0.73;
0.07;9.50;7.07;6.34;5.50;0.53;0.73;
0.07;9.50;7.07;6.34;5.50;0.53;0.73;
0.07;9.49;7.07;6.34;5.50;0.53;0.73;
0.08;9.49;7.07;6.33;5.50;0.53;0.73;
0.08;9.49;7.07;6.33;5.50;0.53;0.73;
0.08;9.49;7.07;6.33;5.51;0.53;0.73;
0.08;9.49;7.07;6.33;5.51;0.54;0.73;
0.08;9.49;7.07;6.33;5.51;0.54;0.73;
0.08;9.49;7.07;6.32;5.51;0.54;0.73;
0.08;9.49;7.07;6.32;5.51;0.54;0.73;
0.08;9.48;7.07;6.32;5.51;0.54;0.73;
0.08;9.48;7.07;6.32;5.51;0.54;0.73;
0.08;9.48;7.07;6.32;5.51;0.54;0.73;
0.08;9.48;7.07;6.31;5.52;0.55;0.73;
0.08;9.48;7.07;6.31;5.52;0.55;0.73;
0.08;9.48;7.07;6.31;5.52;0.55;0.73;
0.08;9.48;7.07;6.31;5.52;0.55;0.73;
0.08;9.48;7.07;6.31;5.52;0.55;0.73;
0.08;9.47;7.07;6.31;5.52;0.55;0.73;
0.08;9.47;7.07;6.30;5.52;0.55;0.73;
0.08;9.47;7.07;6.30;5.52;0.55;0.73;
0.08;9.47;7.07;6.30;5.53;0.56;0.73;
0.08;9.47;7.07;6.30;5.53;0.56;0.73;
0.08;9.47;7.07;6.30;5.53;0.56;0.73;
0.08;9.47;7.07;6.29;5.53;0.56;0.73;
0.08;9.46;7.07;6.29;5.53;0.56;0.73;
0.08;9.46;7.07;6.29;5.53;0.56;0.73;
0.08;9.46;7.07;6.29;5.53;0.56;0.73;
0.08;9.46;7.07;6.29;5.53;0.57;0.73;
0.08;9.46;7.07;6.28;5.54;0.57;0.73;
0.08;9.46;7.07;6.28;5.54;0.57;0.73;
0.08;9.46;7.07;6.28;5.54;0.57;0.73;
0.08;9.46;7.07;6.28;5.54;0.57;0.73;
0.08;9.45;7.07;6.28;5.54;0.57;0.73;
0.08;9.45;7.07;6.27;5.54;0.57;0.73;
0.08;9.45;7.07;6.27;5.54;0.58;0.73;
0.08;9.45;7.07;6.27;5.54;0.58;0.73;
0.08;9.45;7.07;6.27;5.55;0.58;0.73;
0.08;9.45;7.07;6.27;5.55;0.58;0.73;
0.08;9.45;7.07;6.26;5.55;0.58;0.73;
0.08;9.45;7.07;6.26;5.55;0.58;0.72;
0.08;9.44;7.07;6.26;5.55;0.58;0.72;
0.08;9.44;7.07;6.26;5.55;0.59;0.72;
0.08;9.44;7.07;6.26;5.55;0.59;0.72;
0.08;9.44;7.07;6.26;5.55;0.59;0.72;
0.08;9.44;7.07;6.25;5.56;0.59;0.72;
0.08;9.44;7.07;6.25;5.56;0.59;0.72;
0.08;9.44;7.07;6.25;5.56;0.59;0.72;
0.08;9.44;7.07;6.25;5.56;0.59;0.72;
0.08;9.43;7.07;6.25;5.56;0.60;0.72;
0.08;9.43;7.07;6.24;5.56;0.60;0.72;
0.08;9.43;7.07;6.24;5.56;0.60;0.72;
0.08;9.43;7.07;6.24;5.56;0.60;0.72;
0.08;9.43;7.07;6.24;5.57;0.60;0.72;
0.09;9.43;7.07;6.24;5.57;0.60;0.72;
0.09;9.43;7.07;6.23;5.57;0.60;0.72;
0.09;9.43;7.07;6.23;5.57;0.60;0.72;
0.09;9.42;7.07;6.23;5.57;0.61;0.72;
0.09;9.42;7.07;6.23;5.57;0.61;0.72;
0.09;9.42;7.07;6.23;5.57;0.61;0.72;
0.09;9.42;7.07;6.22;5.57;0.61;0.72;
0.09;9.42;7.07;6.22;5.57;0.61;0.72;
0.09;9.42;7.07;6.22;5.58;0.61;0.72;
0.09;9.42;7.07;6.22;5.58;0.61;0.72;
0.09;9.42;7.07;6.22;5.58;0.62;0.72;
0.09;9.41;7.07;6.21;5.58;0.62;0.72;
0.09;9.41;7.07;6.21;5.58;0.62;0.72;
0.09;9.41;7.07;6.21;5.58;0.62;0.72;
0.09;9.41;7.07;6.21;5.58;0.62;0.72;
0.09;9.41;7.07;6.21;5.58;0.62;0.72;
0.09;9.41;7.07;6.21;5.59;0.62;0.72;
0.09;9.41;7.07;6.20;5.59;0.63;0.72;
0.09;9.41;7.07;6.20;5.59;0.63;0.72;
0.09;9.40;7.07;6.20;5.59;0.63;0.72;
0.09;9.40;7.07;6.20;5.59;0.63;0.72;
0.09;9.40;7.07;6.20;5.59;0.63;0.72;
0.09;9.40;7.07;6.19;5.59;0.63;0.72;
0.09;9.40;7.07;6.19;5.59;0.63;0.72;
0.09;9.40;7.07;6.19;5.60;0.64;0.72;
0.09;9.40;7.07;6.19;5.60;0.64;0.72;
0.09;9.39;7.07;6.19;5.60;0.64;0.72;
0.09;9.39;7.07;6.18;5.60;0.64;0.72;
0.09;9.39;7.07;6.18;5.60;0.64;0.72;
0.09;9.39;7.07;6.18;5.60;0.64;0.72;
0.09;9.39;7.07;6.18;5.60;0.64;0.72;
0.09;9.39;7.07;6.18;5.60;0.64;0.72;
0.09;9.39;7.07;6.17;5.61;0.65;0.72;
0.09;9.39;7.07;6.17;5.61;0.65;0.72;
0.09;9.38;7.07;6.17;5.61;0.65;0.72;
0.09;9.38;7.07;6.17;5.61;0.65;0.72;
0.09;9.38;7.07;6.17;5.61;0.65;0.72;
0.09;9.38;7.07;6.16;5.61;0.65;0.72;
0.09;9.38;7.07;6.16;5.61;0.65;0.72;
0.09;9.38;7.07;6.16;5.61;0.66;0.72;
0.09;9.38;7.07;6.16;5.62;0.66;0.72;
0.09;9.38;7.07;6.16;5.62;0.66;0.72;
0.09;9.37;7.07;6.16;5.62;0.66;0.72;
0.09;9.37;7.07;6.15;5.62;0.66;0.72;
0.09;9.37;7.07;6.15;5.62;0.66;0.72;
0.09;9.37;7.07;6.15;5.62;0.66;0.72;
0.09;9.37;7.07;6.15;5.62;0.67;0.72;
